"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","oli","eag","lag","rid","gnl","gnn","odl","odn","cll","cln","phl","phn","idt","ids","rss","eag.1","lag.1","cxi","ein","lin","fml","fmn","rst","eid","idf"
"1:2534","1493694","occ","207737","Taeniopteris cheondaeriensis n. sp.","3","404670","Taeniopteris cheondaeriensis","3","404670","Late Triassic",NA,"237","201.3","71635;71635","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","cheondaeriensis","n. sp.",237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:2535","1493695","occ","207738","Taeniopteris cheondaeriensis","3","404670","Taeniopteris cheondaeriensis","3","404670","Late Triassic",NA,"237","201.3","71635;71635","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","cheondaeriensis",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:2536","1493696","occ","207738","Taeniopteris mungyeongensis n. sp.","3","404674","Taeniopteris mungyeongensis","3","404674","Late Triassic",NA,"237","201.3","71635;71635","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","mungyeongensis","n. sp.",237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:2537","1499451","occ","208639","Taeniopteris carrutheri","3","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","72036;72036","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","carrutheri",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:2538","1505520","occ","210079","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Late Triassic",NA,"237","201.3","72430;72430","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,237,201.3,"44","44","44",NA,NA,NA,NA,NA
"1:2539","1521979","occ","212809","Nilssonia sp. ?",NA,"157259","Nilsonia","5","169172","Barremian",NA,"129.4","125","73480;73480","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","sp.","?",129.4,125,"120","120","120",NA,NA,NA,NA,NA
"1:2540","1521981","occ","212809","Taeniopteris lundgreni","3","56180","Taeniopteris","5","56180","Barremian",NA,"129.4","125","73480;73480","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","lundgreni",NA,129.4,125,"120","120","120",NA,NA,NA,NA,NA
"1:2541","1522400","occ","212906","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Norian",NA,"228","208.5","73516;73516","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,228,208.5,"136","136","136",NA,NA,NA,NA,NA
"1:2542","1571363","occ","221973","Behuninia n. gen. joannei n. sp.","3","416964","Behuninia joannei","3","416964","Kimmeridgian","Tithonian","157.3","145","77950;77950","Behuninia","416963","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Behuninia","joannei","n. sp.",157.3,145,"41","125","124",NA,NA,"n. gen.",NA,NA
"1:2543","1571364","occ","221973","Cycadales indet.","13","55349","Cycadales","13","55349","Kimmeridgian","Tithonian","157.3","145","77950;77950",NA,NA,"Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadales","indet.",NA,157.3,145,"41","125","124",NA,NA,NA,NA,NA
"1:2544","1573887","occ","222433","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Paleozoic","Triassic","541","201.3","78179;78179","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,541,201.3,"751","3","16",NA,NA,NA,NA,NA
"1:2545","1583138","occ","223692","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Triassic",NA,"252.17","201.3","78690;78690","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,252.17,201.3,"16","16","16",NA,NA,NA,NA,NA
"1:2546","1583140","occ","223693","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Triassic",NA,"252.17","201.3","78690;78690","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,252.17,201.3,"16","16","16",NA,NA,NA,NA,NA
"1:2547","1583924","occ","223815","Cycas anomostoma","3","344467","Cycas","5","344467","Middle Eocene","Late Eocene","48.6","33.9","78641;78641","Cycas","344467","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycas","anomostoma",NA,48.6,33.9,"37","37","106","Cycadaceae","54571",NA,NA,NA
"1:2548","1585887","occ","224045","Taeniopteris densinervis","3","460758","Taeniopteris densinervis","3","460758","Triassic",NA,"252.17","201.3","78997;78997","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","densinervis",NA,252.17,201.3,"16","16","16",NA,NA,NA,NA,NA
