"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","oli","eag","lag","rid","gnl","gnn","odl","odn","cll","cln","phl","phn","idt","ids","rss","eag.1","lag.1","cxi","ein","lin","fml","fmn","rst","eid","idf"
"1:284","249963","occ","24345","Nilssonia kendalliae","3","157259","Nilsonia","5","169172","Bajocian",NA,"170.3","168.3","6469;6469","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","kendalliae",NA,170.3,168.3,"129","129","129",NA,NA,NA,NA,NA
"1:285","249964","occ","24345","Pseudoctenis lanei","3","279032","Pseudoctenis","5","279032","Bajocian",NA,"170.3","168.3","6469;6469","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","lanei",NA,170.3,168.3,"129","129","129","Nilssoniaceae","168703",NA,NA,NA
"1:286","249967","occ","24345","Androstrobus wonnacottii","3","169170","Androstrobus zamioides","3","169170","Bajocian",NA,"170.3","168.3","6469;6469","Androstrobus","157258","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Androstrobus","wonnacottii",NA,170.3,168.3,"129","129","129","Beaniaceae","157240",NA,NA,NA
"1:287","249971","occ","24345","Bucklandia pustulosa","3","56267","Bucklandia","5","56267","Bajocian",NA,"170.3","168.3","6469;6469","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","pustulosa",NA,170.3,168.3,"129","129","129",NA,NA,NA,NA,NA
"1:288","249980","occ","24346","Nilssonia tenuinervis","3","157259","Nilsonia","5","169172","Bajocian",NA,"170.3","168.3","6469;6469","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","tenuinervis",NA,170.3,168.3,"129","129","129",NA,NA,NA,NA,NA
"1:289","249981","occ","24346","Nilssonia kendalliae","3","157259","Nilsonia","5","169172","Bajocian",NA,"170.3","168.3","6469;6469","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","kendalliae",NA,170.3,168.3,"129","129","129",NA,NA,NA,NA,NA
"1:290","249982","occ","24346","Pseudoctenis oleosa","3","279032","Pseudoctenis","5","279032","Bajocian",NA,"170.3","168.3","6469;6469","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","oleosa",NA,170.3,168.3,"129","129","129","Nilssoniaceae","168703",NA,NA,NA
"1:291","249986","occ","24346","Androstrobus major","3","169679","Androstrobus major","3","169679","Bajocian",NA,"170.3","168.3","6469;6469","Androstrobus","157258","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Androstrobus","major",NA,170.3,168.3,"129","129","129","Beaniaceae","157240",NA,NA,NA
"1:292","249992","occ","21110","Androstrobus wonnacottii","3","169170","Androstrobus zamioides","3","169170","Bajocian",NA,"170.3","168.3","6469;6469","Androstrobus","157258","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Androstrobus","wonnacottii",NA,170.3,168.3,"129","129","129","Beaniaceae","157240",NA,NA,NA
"1:293","250018","occ","24350","Nilssonia tenuinervis cf.","3","157259","Nilsonia","5","169172","Early Aalenian","Early Bajocian","175.6","168.4","6879;6879","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","tenuinervis","cf.",175.6,168.4,"15","131","129",NA,NA,NA,NA,NA
"1:294","250091","occ","24364","Nilssonia tenuinervis cf.","3","157259","Nilsonia","5","169172","Aalenian",NA,"174.1","170.3","6879;6879","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","tenuinervis","cf.",174.1,170.3,"130","130","130",NA,NA,NA,NA,NA
"1:295","250373","occ","24383","Zamiostrobus cf. lissocardus","3","280773","Zamiostrobus","5","280773","Carnian",NA,"237","228","6882;6882","Zamiostrobus","280773","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Zamiostrobus","lissocardus",NA,237,228,"137","137","137","Cycadaceae","54571","cf.",NA,NA
"1:296","250439","occ","24391","Pseudoctenis eathiensis cf.","3","413444","Pseudoctenis eathiensis","3","413444","Kimmeridgian",NA,"157.3","152.1","6885;6885","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","eathiensis","cf.",157.3,152.1,"125","125","125","Nilssoniaceae","168703",NA,NA,NA
"1:297","250478","occ","24393","Nilssonia orientalis","3","157259","Nilsonia","5","169172","Kimmeridgian",NA,"157.3","152.1","6886;6886","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","orientalis",NA,157.3,152.1,"125","125","125",NA,NA,NA,NA,NA
"1:298","250479","occ","24393","Nilssonia culgowerensis","3","157259","Nilsonia","5","169172","Kimmeridgian",NA,"157.3","152.1","6886;6886","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","culgowerensis",NA,157.3,152.1,"125","125","125",NA,NA,NA,NA,NA
"1:299","250480","occ","24393","Nilssonia brevis","3","411437","Nilssonia brevis","3","411437","Kimmeridgian",NA,"157.3","152.1","6886;6886","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","brevis",NA,157.3,152.1,"125","125","125",NA,NA,NA,NA,NA
"1:300","250481","occ","24393","Pseudoctenis eathiensis","3","413444","Pseudoctenis eathiensis","3","413444","Kimmeridgian",NA,"157.3","152.1","6886;6886","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","eathiensis",NA,157.3,152.1,"125","125","125","Nilssoniaceae","168703",NA,NA,NA
"1:301","250516","occ","24395","Bucklandia insignis","3","56267","Bucklandia","5","56267","Callovian",NA,"166.1","163.5","6888;6888","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","insignis",NA,166.1,163.5,"127","127","127",NA,NA,NA,NA,NA
"1:302","250522","occ","24396","Androstrobus zamioides","3","169170","Androstrobus zamioides","3","169170","Callovian",NA,"166.1","163.5","6888;6888","Androstrobus","157258","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Androstrobus","zamioides",NA,166.1,163.5,"127","127","127","Beaniaceae","157240",NA,NA,NA
"1:303","250827","occ","24421","Cycadospadix moroeanus","3","405634","Cycadospadix","5","405634","Middle Oxfordian",NA,"161.2","155.7","6888;6888","Cycadospadix","405634","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadospadix","moroeanus",NA,161.2,155.7,"41","126","125","Cycadaceae","54571",NA,NA,NA
"1:304","250828","occ","24421","Zamiostrobus index","3","280773","Zamiostrobus","5","280773","Middle Oxfordian",NA,"161.2","155.7","6888;6888","Zamiostrobus","280773","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Zamiostrobus","index",NA,161.2,155.7,"41","126","125","Cycadaceae","54571",NA,NA,NA
"1:305","250848","occ","24422","Pseudoctenis creysensis","3","279032","Pseudoctenis","5","279032","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","creysensis",NA,155.7,150.8,"41","125","124","Nilssoniaceae","168703",NA,NA,NA
"1:306","250849","occ","24422","Pseudoctenis ? sp. ?","5","279032","Pseudoctenis","5","279032","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.","?",155.7,150.8,"41","125","124","Nilssoniaceae","168703","?",NA,NA
"1:307","250850","occ","24422","Apoldia latifolia","3","288229","Apoldia","5","288229","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Apoldia","288229","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Apoldia","latifolia",NA,155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:308","250852","occ","24422","Paracycas sp. A informal","5","412098","Paracycas","5","412098","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Paracycas","412098","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Paracycas","sp. A","informal",155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:309","250853","occ","24422","Paracycas sp. B informal","5","412098","Paracycas","5","412098","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Paracycas","412098","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Paracycas","sp. B","informal",155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:310","250887","occ","24422","Bucklandia feneonis","3","56267","Bucklandia","5","56267","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","feneonis",NA,155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:311","250942","occ","24425","Apoldia latifolia","3","288229","Apoldia","5","288229","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Apoldia","288229","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Apoldia","latifolia",NA,155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:312","250960","occ","24426","Apoldia latifolia","3","288229","Apoldia","5","288229","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Apoldia","288229","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Apoldia","latifolia",NA,155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:313","250986","occ","24428","Pseudoctenis ? sp. A informal","5","279032","Pseudoctenis","5","279032","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp. A","informal",155.7,150.8,"41","125","124","Nilssoniaceae","168703","?",NA,NA
"1:314","250987","occ","24428","Pseudoctenis creysensis","3","279032","Pseudoctenis","5","279032","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","creysensis",NA,155.7,150.8,"41","125","124","Nilssoniaceae","168703",NA,NA,NA
"1:315","250988","occ","24428","Apoldia latifolia","3","288229","Apoldia","5","288229","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Apoldia","288229","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Apoldia","latifolia",NA,155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:316","250989","occ","24428","Paracycas sp. A informal","5","412098","Paracycas","5","412098","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Paracycas","412098","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Paracycas","sp. A","informal",155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:317","250990","occ","24428","Paracycas sp. B informal","5","412098","Paracycas","5","412098","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Paracycas","412098","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Paracycas","sp. B","informal",155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:318","251030","occ","24433","Apoldia latifolia","3","288229","Apoldia","5","288229","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Apoldia","288229","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Apoldia","latifolia",NA,155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:319","251041","occ","24434","Apoldia latifolia","3","288229","Apoldia","5","288229","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Apoldia","288229","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Apoldia","latifolia",NA,155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:320","251043","occ","24434","Paracycas sp. B informal","5","412098","Paracycas","5","412098","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Paracycas","412098","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Paracycas","sp. B","informal",155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:321","251055","occ","24434","Bucklandia feneonis","3","56267","Bucklandia","5","56267","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","feneonis",NA,155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:322","251107","occ","24438","Apoldia latifolia","3","288229","Apoldia","5","288229","Late Kimmeridgian",NA,"155.7","150.8","6888;6888","Apoldia","288229","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Apoldia","latifolia",NA,155.7,150.8,"41","125","124",NA,NA,NA,NA,NA
"1:323","251128","occ","24440","Apoldia latifolia","3","288229","Apoldia","5","288229","Kimmeridgian",NA,"157.3","152.1","6888;6888","Apoldia","288229","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Apoldia","latifolia",NA,157.3,152.1,"125","125","125",NA,NA,NA,NA,NA
"1:324","251515","occ","24486","Taeniopteris ? sp.","5","56180","Taeniopteris","5","56180","Asselian","Sakmarian","298.9","290.1","6894;6894","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,298.9,290.1,"773","151","150",NA,NA,"?",NA,NA
"1:325","251683","occ","24516","Bucklandia insignis","3","56267","Bucklandia","5","56267","Tithonian",NA,"152.1","145","6888;6888","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","insignis",NA,152.1,145,"124","124","124",NA,NA,NA,NA,NA
"1:326","251759","occ","24529","Nilssonia sp.",NA,"157259","Nilsonia","5","169172","Oxfordian",NA,"163.5","157.3","6888;6888","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","sp.",NA,163.5,157.3,"126","126","126",NA,NA,NA,NA,NA
"1:327","251833","occ","24535","Nilssonia tenuinervis cf.","3","157259","Nilsonia","5","169172","Aalenian",NA,"174.1","170.3","6879;6879","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","tenuinervis","cf.",174.1,170.3,"130","130","130",NA,NA,NA,NA,NA
"1:328","251990","occ","24554","Leptocycas n. gen. gracilis n. sp.","3","417656","Leptocycas gracilis","3","417656","Carnian",NA,"237","228","6902;6902","Leptocycas","417655","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Leptocycas","gracilis","n. sp.",237,228,"137","137","137","Cycadaceae","54571","n. gen.",NA,NA
"1:329","251991","occ","24554","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Carnian",NA,"237","228","6902;6902","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,228,"137","137","137","Nilssoniaceae","168703",NA,NA,NA
"1:330","252047","occ","24560","Paracycas sp.","5","412098","Paracycas","5","412098","Late Oxfordian",NA,"161.2","155.7","6904;6904","Paracycas","412098","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Paracycas","sp.",NA,161.2,155.7,"41","126","125",NA,NA,NA,NA,NA
"1:331","252107","occ","24564","Sphenozamites rossii","3","56238","Sphenozamites","5","56238","Pliensbachian",NA,"190.8","182.7","6908;6908","Sphenozamites","56238","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Sphenozamites","rossii",NA,190.8,182.7,"132","132","132","Cycadaceae","54571",NA,NA,NA
"1:332","252108","occ","24564","Sphenozamites sp.","5","56238","Sphenozamites","5","56238","Pliensbachian",NA,"190.8","182.7","6908;6908","Sphenozamites","56238","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Sphenozamites","sp.",NA,190.8,182.7,"132","132","132","Cycadaceae","54571",NA,NA,NA
"1:333","252123","occ","24565","Nilssonia acuminata","3","157259","Nilsonia","5","169172","Early Callovian",NA,"164.7","161.2","6909;6909","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","acuminata",NA,164.7,161.2,"15","127","126",NA,NA,NA,NA,NA
"1:334","252381","occ","11155","Cycadospadix sp.","5","405634","Cycadospadix","5","405634","Permian",NA,"298.9","252.17","4102;4102","Cycadospadix","405634","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Cycadospadix","sp.",NA,298.9,252.17,"17","17","17","Cycadaceae","54571",NA,NA,NA
"1:335","252398","occ","11162","Taeniopteris multinervis","3","56180","Taeniopteris","5","56180","Asselian","Kungurian","298.9","272.3","4102;4102","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","multinervis",NA,298.9,272.3,"773","773","773",NA,NA,NA,NA,NA
"1:336","252419","occ","11148","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Sakmarian","Kungurian","295.5","272.3","4103;4103","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,295.5,272.3,"773","150","148",NA,NA,NA,NA,NA
"1:337","252637","occ","24624","Taeniopteris multinervis","3","56180","Taeniopteris","5","56180","Artinskian","Kungurian","290.1","272.3","4102;4102","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","multinervis",NA,290.1,272.3,"773","149","148",NA,NA,NA,NA,NA
"1:338","252649","occ","24622","Taeniopteris multinervis","3","56180","Taeniopteris","5","56180","Permian",NA,"298.9","252.17","4102;4102","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","multinervis",NA,298.9,252.17,"17","17","17",NA,NA,NA,NA,NA
"1:339","252650","occ","24622","Taeniopteris abnormis","3","56180","Taeniopteris","5","56180","Permian",NA,"298.9","252.17","4102;4102","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","abnormis",NA,298.9,252.17,"17","17","17",NA,NA,NA,NA,NA
"1:340","252652","occ","24622","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Permian",NA,"298.9","252.17","4102;4102","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,298.9,252.17,"17","17","17",NA,NA,NA,NA,NA
"1:341","252704","occ","24626","Taeniopteris multinervis","3","56180","Taeniopteris","5","56180","Asselian","Kungurian","298.9","272.3","4102;4102","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","multinervis",NA,298.9,272.3,"773","773","773",NA,NA,NA,NA,NA
"1:342","252705","occ","24626","Taeniopteris abnormis","3","56180","Taeniopteris","5","56180","Asselian","Kungurian","298.9","272.3","4102;4102","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","abnormis",NA,298.9,272.3,"773","773","773",NA,NA,NA,NA,NA
"1:343","252860","occ","24611","Nilssonia sp. B informal",NA,"157259","Nilsonia","5","169172","Bajocian","Bathonian","170.3","166.1","6925;6925","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","sp. B","informal",170.3,166.1,"42","129","128",NA,NA,NA,NA,NA
"1:344","252862","occ","24611","Pseudoctenis sp. A informal","5","279032","Pseudoctenis","5","279032","Bajocian","Bathonian","170.3","166.1","6925;6925","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp. A","informal",170.3,166.1,"42","129","128","Nilssoniaceae","168703",NA,NA,NA
"1:345","252868","occ","24580","Bucklandia insignis cf.","3","56267","Bucklandia","5","56267","Bajocian","Callovian","170.3","163.5","6915;6915","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","insignis","cf.",170.3,163.5,"42","129","127",NA,NA,NA,NA,NA
"1:346","252876","occ","24580","Bucklandia sp.","5","56267","Bucklandia","5","56267","Bajocian","Callovian","170.3","163.5","6915;6915","Bucklandia","56267","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Bucklandia","sp.",NA,170.3,163.5,"42","129","127",NA,NA,NA,NA,NA
"1:347","253233","occ","24578","Taeniopteris muensteri","3","56180","Taeniopteris","5","56180","Hettangian","Sinemurian","201.3","190.8","6913;6913","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","muensteri",NA,201.3,190.8,"43","134","133",NA,NA,NA,NA,NA
"1:348","253234","occ","24578","Taeniopteris multinervis","3","56180","Taeniopteris","5","56180","Hettangian","Sinemurian","201.3","190.8","6913;6913","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","multinervis",NA,201.3,190.8,"43","134","133",NA,NA,NA,NA,NA
"1:349","253238","occ","24578","Nilssonia orientalis","3","157259","Nilsonia","5","169172","Hettangian","Sinemurian","201.3","190.8","6913;6913","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","orientalis",NA,201.3,190.8,"43","134","133",NA,NA,NA,NA,NA
"1:350","253254","occ","24598","Nilssonia polymorpha","3","157259","Nilsonia","5","169172","Toarcian",NA,"182.7","174.1","6917;6917","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","polymorpha",NA,182.7,174.1,"131","131","131",NA,NA,NA,NA,NA
"1:351","253294","occ","24598","Nilssonia cracoviensis","3","157259","Nilsonia","5","169172","Toarcian",NA,"182.7","174.1","6917;6917","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","cracoviensis",NA,182.7,174.1,"131","131","131",NA,NA,NA,NA,NA
"1:352","253310","occ","24598","Taeniopteris obtusa","3","56180","Taeniopteris","5","56180","Toarcian",NA,"182.7","174.1","6917;6917","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","obtusa",NA,182.7,174.1,"131","131","131",NA,NA,NA,NA,NA
"1:353","253311","occ","24598","Taeniopteris stenoneuron","3","56180","Taeniopteris","5","56180","Toarcian",NA,"182.7","174.1","6917;6917","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","stenoneuron",NA,182.7,174.1,"131","131","131",NA,NA,NA,NA,NA
"1:354","253312","occ","24598","Taeniopteris vittata","3","404557","Taeniopteris vittata","3","404557","Toarcian",NA,"182.7","174.1","6917;6917","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","vittata",NA,182.7,174.1,"131","131","131",NA,NA,NA,NA,NA
"1:355","253332","occ","24599","Nilssonia orientalis","3","157259","Nilsonia","5","169172","Pliensbachian",NA,"190.8","182.7","6917;6917","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","orientalis",NA,190.8,182.7,"132","132","132",NA,NA,NA,NA,NA
"1:356","253346","occ","24599","Nilssonia acuminata","3","157259","Nilsonia","5","169172","Pliensbachian",NA,"190.8","182.7","6917;6917","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","acuminata",NA,190.8,182.7,"132","132","132",NA,NA,NA,NA,NA
"1:357","253347","occ","24599","Nilssonia simplex","3","157259","Nilsonia","5","169172","Pliensbachian",NA,"190.8","182.7","6917;6917","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","simplex",NA,190.8,182.7,"132","132","132",NA,NA,NA,NA,NA
"1:358","253368","occ","24600","Nilssonia elongata","3","157259","Nilsonia","5","169172","Sinemurian",NA,"199.3","190.8","6917;6917","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","elongata",NA,199.3,190.8,"133","133","133",NA,NA,NA,NA,NA
"1:359","253369","occ","24600","Nilssonia inouyei","3","157259","Nilsonia","5","169172","Sinemurian",NA,"199.3","190.8","6917;6917","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","inouyei",NA,199.3,190.8,"133","133","133",NA,NA,NA,NA,NA
"1:360","253382","occ","24600","Nilssonia orientalis","3","157259","Nilsonia","5","169172","Sinemurian",NA,"199.3","190.8","6917;6917","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","orientalis",NA,199.3,190.8,"133","133","133",NA,NA,NA,NA,NA
"1:361","253393","occ","24600","Nilssonia polymorpha","3","157259","Nilsonia","5","169172","Sinemurian",NA,"199.3","190.8","6917;6917","Nilsonia","169172","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Nilssonia","polymorpha",NA,199.3,190.8,"133","133","133",NA,NA,NA,NA,NA
"1:362","253444","occ","24649","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Bashkirian","Gzhelian","323.2","298.9","4122;4122","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,323.2,298.9,"27","27","27",NA,NA,NA,NA,NA
"1:363","253507","occ","24613","Taeniopteris sp.","5","56180","Taeniopteris","5","56180","Wolfcamp",NA,"296.4","268","6926;6926","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","sp.",NA,296.4,268,"17","773","146",NA,NA,NA,NA,NA
"1:364","253528","occ","24601","Pseudoctenis sp.","5","279032","Pseudoctenis","5","279032","Carnian",NA,"237","228","6919;6919","Pseudoctenis","279032","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pseudoctenis","sp.",NA,237,228,"137","137","137","Nilssoniaceae","168703",NA,NA,NA
"1:365","253537","occ","24657","Pterophyllum carnallianum","3","448486","Dioonites carnallianus","3","448487","Rhaetian",NA,"208.5","201.3","6929;6929","Dioonites","407729","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Pterophyllum","carnallianum",NA,208.5,201.3,"135","135","135","Cycadaceae","54571",NA,NA,NA
"1:366","253544","occ","24658","Taeniopteris angustodunensis","3","56180","Taeniopteris","5","56180","Rhaetian",NA,"208.5","201.3","6929;6929","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","angustodunensis",NA,208.5,201.3,"135","135","135",NA,NA,NA,NA,NA
"1:367","253545","occ","24658","Taeniopteris superba","3","56180","Taeniopteris","5","56180","Rhaetian",NA,"208.5","201.3","6929;6929","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","superba",NA,208.5,201.3,"135","135","135",NA,NA,NA,NA,NA
"1:368","253546","occ","24658","Taeniopteris tenuinervis","3","56180","Taeniopteris","5","56180","Rhaetian",NA,"208.5","201.3","6929;6929","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","tenuinervis",NA,208.5,201.3,"135","135","135",NA,NA,NA,NA,NA
"1:369","253547","occ","24658","Taeniopteris stenoneura","3","56180","Taeniopteris","5","56180","Rhaetian",NA,"208.5","201.3","6929;6929","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","stenoneura",NA,208.5,201.3,"135","135","135",NA,NA,NA,NA,NA
"1:370","253548","occ","24658","Taeniopteris vittata","3","404557","Taeniopteris vittata","3","404557","Rhaetian",NA,"208.5","201.3","6929;6929","Taeniopteris","56180","Cycadales","55349","Cycadopsida","54800","Cycadophyta","56134","Taeniopteris","vittata",NA,208.5,201.3,"135","135","135",NA,NA,NA,NA,NA
